code;roundTheClock;zone24;timeZone;workingHours;coordinates latitude;coordinates longitude;fullAddress;subwayStations;locationCategory;services;conditionCode
155337;False;False;0;[[30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [32400000, 61200000], None, [36000000, 54000000], None];55.639959;37.758204;г. Москва, ул. Борисовские Пруды, д. 26;[['Алма-Атинская', 'ЗЕЛ', '850'], ['Борисово', 'САЛ', '1090']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
60015567;True;True;0;[];55.622009;37.601448;г. Москва, ул. Днепропетровская, д. 3к5А;[['Южная', 'СЕР', '410']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
10037525;False;False;0;[[30600000, 73800000], None, [30600000, 73800000], None, [30600000, 73800000], None, [30600000, 73800000], None, [30600000, 73800000], None, [32400000, 59400000], None, None, None];55.803919;37.760467;г. Москва, ш. Щелковское,  6;[['Локомотив', 'КРЖ', '930'], ['Черкизовская', 'КРА', '1010']];Отделение банка;{'QRCODE': True, 'PAY_CASH': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
143052;True;True;0;[];55.885136;37.587706;г. Москва, ш. Алтуфьевское, д. 64;[['Бибирево', 'СЕР', '860']];Отделение банка;{'QRCODE': True, 'PAY_CASH': False, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': False};True
60006350;True;True;0;[];55.714419;37.402713;г. Москва, ул. Вяземская, д. 4;[];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
725277;False;False;0;[[32400000, 63000000], None, [32400000, 63000000], None, [32400000, 63000000], None, [32400000, 63000000], None, [32400000, 61200000], None, None, None, None, None];55.721904;37.695214;г. Москва, пр-кт Волгоградский,  32, к. 45;[['Угрешская', 'КРЖ', '390'], ['Волгоградский Проспект', 'ФИО', '520']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
60006324;True;True;0;[];55.752707;37.603786;г. Москва, ул. Воздвиженка,  9стр2;[['Арбатская', 'СИН', '50'], ['Арбатская', 'ГОЛ', '170']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
60022789;True;True;0;[];55.777307;37.46706;г. Москва, пр-кт Маршала Жукова, д. 44;[];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
652113;True;True;0;[];55.794831;37.698052;г. Москва, ул. Стромынка, д. 19, к. 1;[['Преображенская Площадь', 'КРА', '990']];Отделение банка;{'QRCODE': True, 'PAY_CASH': False, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': False};True
60012931;True;True;0;[];55.734806;37.668156;г. Москва, ул. Марксистская, д. 9;[['Пролетарская', 'ФИО', '270'], ['Крестьянская Застава', 'САЛ', '330']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
60011026;True;True;0;[];55.766179;37.632238;г. Москва, пер. Милютинский,  19/4стр2;[['Сретенский Бульвар', 'САЛ', '270'], ['Тургеневская', 'ОРА', '290'], ['Чистые Пруды', 'КРА', '410']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True, 'DEPOSIT_OPEN': True};True
17959;False;False;0;[[36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 75600000], None, [36000000, 72000000], None];55.607488;37.532367;г. Москва, пр-кт Новоясеневский, д. 7;[['Ясенево', 'ОРА', '90']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
551827;False;False;0;[[30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [32400000, 61200000], None, None, None];55.810678;37.392508;г. Москва, пр-д Неманский, д. 9;[['Строгино', 'СИН', '870']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': False, 'PAY_CASH': False, 'CASHIN': False, 'PAY_SERVICES': True, 'BARCODE': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': False};True
